CG_Branches1: 22.88801,104.0404,-47.32164,162.6857,1,1
CG_VapConnector: -473.3199,-213.6458,-423.8066,-300.7343,0,1
CG_VaporizersALT: -408.3978,-171.0073,-518.6552,-106.9335,1,1
GATE_DS_CG: -60.08033,-358.9788,251.0967,-473.0286,1,0
GATE_HI_CG: -940.1115,-47.95976,-908.3217,42.6857,1,0
OffScreenDen_CG: -484.1122,-49.95976,-671.3217,197.6857,1,1
Connection: CG_Branches1,CG_Branches2,41,32,37,3,0,3
Connection: CG_Branches1,CG_Bridge,42,6,96,29,3,0
Connection: CG_Branches2,CG_Branches3,42,65,35,7,0,3
Connection: CG_Branches3,CG_Hideout,40,63,6,15,0,2
Connection: CG_Branches3,CG_TreeCore,38,21,20,63,0,1
Connection: CG_Bridge,CG_Pipeworks2,3,24,30,22,2,0
Connection: CG_Bridge,CG_VaporizersALT,3,8,95,31,2,0
Connection: CG_Bunker,CG_Hideout,27,14,23,30,3,1
Connection: CG_CabinetShelter,CG_EastRoot,10,19,69,19,1,3
Connection: CG_Drain1,CG_EastRoot,38,29,22,5,1,3
Connection: CG_Drain1,CG_Drain2,3,21,41,27,2,1
Connection: CG_Drain2,CG_TallTank,2,26,20,13,2,2
Connection: CG_Drain2,CG_Pipeworks2A,24,16,7,73,1,2
Connection: CG_Drain2,CG_Drain3,3,8,44,23,3,0
Connection: CG_Drain3,GATE_DS_CG,5,3,36,19,3,1
Connection: CG_DSShelter,GATE_DS_CG,24,9,36,5,1,3
Connection: CG_EastBranch,CG_TreetopGate,5,79,28,5,2,3
Connection: CG_EastBranch,CG_Hideout,8,56,40,23,2,0
Connection: CG_EastBranch,CG_EastMidpoint,8,52,14,27,2,2
Connection: CG_EastMidpoint,CG_TreeCore,24,17,33,60,3,0
Connection: CG_EastMidpoint,CG_EastRoot,14,17,7,17,2,2
Connection: CG_EastRoot,CG_TallTank,7,13,40,12,2,0
Connection: CG_HermitCave,CG_OtherGate,7,25,45,9,2,0
Connection: CG_Hideout,CG_TreeCore,29,8,27,63,3,1
Connection: CG_Lab,CG_LRUCore,5,14,41,14,2,0
Connection: CG_LabEntrance,CG_TreeCore,22,37,30,5,1,3
Connection: CG_LabEntrance,CG_LRU,31,4,59,65,3,1
Connection: CG_LeftWing,CG_Pipeworks2A,95,23,8,17,0,2
Connection: CG_LeftWing,CG_Line1,52,4,40,32,3,1
Connection: CG_LRU,CG_LRUCore,48,17,6,18,0,2
Connection: CG_OtherGate,CG_Sprinkler,11,19,86,14,1,0
Connection: CG_Pipeworks1,CG_Planters,87,21,5,20,0,3
Connection: CG_Pipeworks1,GATE_HI_CG,4,15,45,9,2,0
Connection: CG_Pipeworks1,CG_VaporizersALT,86,14,2,11,0,2
Connection: CG_Pipeworks2,CG_Shelter,8,21,23,16,2,0
Connection: CG_Pipeworks2,CG_Planters,8,17,47,20,2,3
Connection: CG_Pipeworks2A,CG_SkyLine,106,62,14,1,0,3
Connection: CG_RootShelter,CG_USroot,14,30,23,11,1,3
Connection: CG_Sprinkler,CG_USentrance,86,8,3,23,0,2
Connection: CG_Sprinkler,CG_VapConnector,59,8,41,37,3,1
Connection: CG_TallTank,CG_UScenterE,9,31,54,33,2,0
Connection: CG_Treetop,CG_TreetopGate,58,10,19,19,2,1
Connection: CG_UScenterE,CG_USroot,7,69,33,25,2,0
Connection: CG_UScenterW,CG_USroot,43,67,15,20,0,2
Connection: CG_UScenterW,CG_USpump,4,7,49,17,2,0
Connection: CG_USentrance,CG_USpump,44,4,18,36,3,1
Connection: CG_VapConnector,CG_VaporizersALT,40,23,86,2,1,2
